date;salesAmount;promotionYes;bridgeDayYes;publicHolidayYes;seasonCode;seasonName;calendarWeek;newSnowCode;newSnowDescription;rainCode;rainDescription;sunshineCode;sunShineDescription;temperaturCode;temperatureDescription;shopsClosedYes;weekdayCode;weekDayDescription
2013-01-21;5655;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;3;Mittel;3;Mittel;2;kaelter als Mittel;0;2;Montag
2013-01-22;5007;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;3;Mittel;4;mehr als Mittel;2;kaelter als Mittel;0;3;Dienstag
2013-01-23;5197;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-01-24;5384;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-01-25;7605;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-01-26;8891;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-01-27;932;0;0;0;4;Winter;4;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;2;kaelter als Mittel;1;1;Sonntag
2013-01-28;6532;0;0;0;4;Winter;5;2;mehr als 1 cm Schnee;4;feuchter als Mittel;4;mehr als Mittel;3;Mittel;0;2;Montag
2013-01-29;11408;1;0;0;4;Winter;5;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;0;3;Dienstag
2013-01-30;11498;1;0;0;4;Winter;5;0;kein Schnee;5;viel feuchter als Mittel;3;Mittel;5;viel waermer als Mittel;0;4;Mittwoch
2013-01-31;11399;1;0;0;4;Winter;5;0;kein Schnee;3;Mittel;5;viel mehr als Mittel;5;viel waermer als Mittel;0;5;Donnerstag
2013-02-01;14356;1;0;0;4;Winter;5;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;0;6;Freitag
2013-02-02;18852;1;0;0;4;Winter;5;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;7;Samstag
2013-02-03;1336;1;0;0;4;Winter;5;1;weniger als 1 cm Schnee;3;Mittel;4;mehr als Mittel;2;kaelter als Mittel;1;1;Sonntag
2013-02-04;10963;1;0;0;4;Winter;6;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;2;Montag
2013-02-05;5789;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;3;Mittel;5;viel waermer als Mittel;0;3;Dienstag
2013-02-06;5760;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;2;kaelter als Mittel;0;4;Mittwoch
2013-02-07;5559;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;2;kaelter als Mittel;0;5;Donnerstag
2013-02-08;7557;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;2;kaelter als Mittel;0;6;Freitag
2013-02-09;9077;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;4;feuchter als Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-02-10;859;0;0;0;4;Winter;6;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-02-11;5462;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;1;viel kaelter als Mittel;0;2;Montag
2013-02-12;4696;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2013-02-13;5220;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-02-14;5155;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;4;feuchter als Mittel;4;mehr als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-02-15;7078;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;3;Mittel;0;6;Freitag
2013-02-16;9200;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;4;mehr als Mittel;3;Mittel;0;7;Samstag
2013-02-17;1063;0;0;0;4;Winter;7;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;3;Mittel;1;1;Sonntag
2013-02-18;6620;0;0;0;4;Winter;8;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;3;Mittel;0;2;Montag
2013-02-19;10495;1;0;0;4;Winter;8;0;kein Schnee;3;Mittel;5;viel mehr als Mittel;2;kaelter als Mittel;0;3;Dienstag
2013-02-20;10737;1;0;0;4;Winter;8;0;kein Schnee;3;Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;4;Mittwoch
2013-02-21;11022;1;0;0;4;Winter;8;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;5;Donnerstag
